Year,Brand,ENTREPRENEURSHIP,QUALITY OF LIFE,SOCIAL PURPOSE,CULTURAL INFLUENCE,OPEN FOR BUSINESS,ADVENTURE,POWER,HERITAGE,MOVERS,OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Morocco,2.74,9.91,1.72,13.48,51.76,37.70,4.17,48.78,52.86,18.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Myanmar,1.82,11.52,1.44,4.29,42.24,14.80,4.76,10.12,53.65,12.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Netherlands,74.97,88.68,92.89,46.82,82.75,45.04,18.56,34.69,25.49,86.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,New Zealand,58.33,84.74,83.79,39.24,84.45,68.96,8.63,23.44,51.49,82.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Nigeria,1.97,3.68,1.21,2.13,38.79,5.65,6.70,1.63,15.29,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Norway,73.19,93.04,100.00,38.23,83.36,36.60,14.99,26.19,32.05,87.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Oman,4.52,7.08,2.47,3.01,36.88,2.89,6.98,1.40,35.92,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Pakistan,3.75,3.14,1.20,2.22,34.38,1.78,19.22,9.03,17.62,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Panama,9.14,11.03,9.20,8.14,100.00,38.80,2.87,9.83,21.90,21.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Peru,3.14,14.84,7.66,13.73,59.46,41.84,2.23,47.69,38.71,20.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Philippines,8.77,19.95,4.80,12.35,61.80,48.56,4.04,18.83,36.29,20.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Poland,30.77,39.02,38.43,9.68,52.29,20.02,6.37,45.65,2.36,31.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
